"AOU","rmse_occ","rmse_pres","rmse_gam","rmse_gam_pres","rmse_rf","rmse_rf_pres","rmse_me_pres","n_pres","n","n_abs","glm_diff","gam_diff","rf_diff","RO","test"
3120,0.198150727414386,0.323074095929501,0.0464852622325842,0.000259595586151451,0.238629560981807,0.376533494831846,0.326870262722255,65,141,76,-0.124923368515115,0.0462256666464328,-0.137903933850039,0.460992907801418,0.460992907801418
3190,0.28115492143873,0.15196681816434,0.0569937891047157,4.11772145827441e-05,0.318671254530988,0.248722811072443,0.376379446237939,76,83,7,0.12918810327439,0.056952611890133,0.069948443458545,0.91566265060241,0.91566265060241
3850,0.231629892308319,0.351571669849893,0.134010670668304,2.12224877235467e-05,0.229532086756149,0.373941975986306,0.388685636238187,85,112,27,-0.119941777541574,0.13398944818058,-0.144409889230157,0.758928571428571,0.758928571428571
3960,0.326737499550038,0.268845455807344,0.0263481470547095,0.000208870438689127,0.341509935517948,0.339337402099361,0.394804674274656,64,72,8,0.057892043742694,0.0261392766160204,0.00217253341858703,0.888888888888889,0.888888888888889
4020,0.296857367901025,0.348447557469393,0.188517670338585,2.40315596448383e-05,0.259004389620152,0.294008774477679,0.37909665569307,202,255,53,-0.051590189568368,0.18849363877894,-0.035004384857527,0.792156862745098,0.792156862745098
4090,0.196436981046179,0.0879483358467815,0.137952444364029,2.80952650743557e-06,0.166436459716703,0.0912217230892081,0.370572523679944,518,522,4,0.108488645199397,0.137949634837522,0.0752147366274949,0.992337164750958,0.992337164750958
4330,0.217324626263657,0.279290378133939,0.0252145404501083,2.32268318730936e-05,0.239856986266499,0.330768929532992,0.363732269700836,64,91,27,-0.061965751870282,0.0251913136182352,-0.090911943266493,0.703296703296703,0.703296703296703
4430,0.284299578411968,0.249590332246625,0.0160487087086841,7.65406414616738e-07,0.25221118417311,0.279270134424228,0.381923951944089,86,95,9,0.034709246165343,0.0160479433022695,-0.027058950251118,0.905263157894737,0.905263157894737
4520,0.251024638627112,0.184361612666658,0.201403596321434,1.65885148363488e-05,0.210656510256162,0.170982706467828,0.374268671687876,590,618,28,0.066663025960454,0.201387007806598,0.039673803788334,0.954692556634304,0.954692556634304
4540,0.32844084079622,0.343629010783171,0.151940317888971,8.89715845496321e-05,0.336896565844406,0.362138022774794,0.379188720804068,118,159,41,-0.015188169986951,0.151851346304421,-0.025241456930388,0.742138364779874,0.742138364779874
4560,0.287032925060482,0.188927478381268,0.189584432813157,6.39318283655546e-06,0.210265683457074,0.169695235285563,0.376023218824049,567,591,24,0.098105446679214,0.18957803963032,0.040570448171511,0.959390862944162,0.959390862944162
4641,0.307339803726028,0.181906384914035,3.3640410200349e-05,5.89828884541852e-08,0.351180697334977,0.237610213585004,0.379312911673287,69,73,4,0.125433418811993,3.35814273118948e-05,0.113570483749973,0.945205479452055,0.945205479452055
4680,0.343883744049938,0.367472035480959,0.218546136289121,1.79210415407864e-05,0.337706607849089,0.32992391740956,0.365244859395868,110,178,68,-0.023588291431021,0.21852821524758,0.00778269043952901,0.617977528089888,0.617977528089888
4770,0.157894658757112,0.163488619389113,0.0905104262673736,0.000230878436482144,0.124570023359473,0.162418129722733,0.371894725138924,638,673,35,-0.00559396063200099,0.0902795478308915,-0.03784810636326,0.947994056463596,0.947994056463596
5300,0.299804163718631,0.36620260828427,0.189090704381021,2.16351435536596e-07,0.29062810655922,0.383129413440977,0.374172876314189,110,164,54,-0.066398444565639,0.189090488029585,-0.092501306881757,0.670731707317073,0.670731707317073
5780,0.341805236446982,0.372117844010495,0.0500434645765875,0.000115917213656553,0.308862929752558,0.433132645782132,0.409595066864536,72,93,21,-0.030312607563513,0.049927547362931,-0.124269716029574,0.774193548387097,0.774193548387097
5900,0.332244263942964,0.355702650898896,0.222936917686039,7.79157870857281e-06,0.363714557811364,0.383460790169994,0.372583470918975,94,136,42,-0.023458386955932,0.22292912610733,-0.01974623235863,0.691176470588235,0.691176470588235
6050,0.305984144495159,0.334912991866954,0.0522612030240059,8.10662275666223e-07,0.240799670955993,0.336219349194779,0.367485495775922,74,103,29,-0.028928847371795,0.0522603923617302,-0.095419678238786,0.718446601941748,0.718446601941748
6570,0.328778242635752,0.396737812274622,0.184951327588912,0.000140564290605717,0.295317069079625,0.369163781552827,0.40108814230382,143,193,50,-0.06795956963887,0.184810763298306,-0.073846712473202,0.740932642487047,0.740932642487047
6680,0.363137204959962,0.327985200458427,7.10159124272165e-05,1.75090493258001e-05,0.399998025185344,0.375066240629965,0.405237675321016,60,72,12,0.035152004501535,5.35068631014164e-05,0.024931784555379,0.833333333333333,0.833333333333333
7290,0.320890119026177,0.271802890693639,0.162626379102832,3.85279098490859e-06,0.293315286334703,0.330140855361963,0.374049293315808,91,112,21,0.049087228332538,0.162622526311847,-0.03682556902726,0.8125,0.8125
7630,0.300694744053277,0.361177287973201,1.39150018838477e-06,1.23276027454879e-05,0.332773414359855,0.387116036205172,0.401022365434951,68,95,27,-0.060482543919924,-1.09361025571031e-05,-0.054342621845317,0.715789473684211,0.715789473684211
7660,0.260584873562859,0.181852572542414,0.198310604900828,4.04135362694982e-06,0.209446554713345,0.171405064934887,0.377124094484949,596,618,22,0.078732301020445,0.198306563547201,0.038041489778458,0.964401294498382,0.964401294498382
