"Mean","Measure","Modtype","complement","value"
"mean","sensitivity","gamocc",76.6662182301256,23.3337817698744
"mean","specificity","gamocc",73.6136441784519,26.3863558215481
"mean","pp","gamocc",66.4208194421888,33.5791805578112
"mean","np","gamocc",86.6994603899432,13.3005396100568
"mean","sensitivity","gampr",95.5612592838073,4.4387407161927
"mean","specificity","gampr",36.635192788061,63.364807211939
"mean","pp","gampr",48.2105218233691,51.7894781766309
"mean","np","gampr",95.4131453993596,4.58685460064041
"mean","sensitivity","glmocc",72.1684994277033,27.8315005722967
"mean","specificity","glmocc",64.0161603538067,35.9838396461933
"mean","pp","glmocc",56.6092847136829,43.3907152863171
"mean","np","glmocc",82.3576418550703,17.6423581449297
"mean","sensitivity","glmpr",94.1070863031138,5.89291369688617
"mean","specificity","glmpr",29.4541110564908,70.5458889435092
"mean","pp","glmpr",45.5054894016327,54.4945105983673
"mean","np","glmpr",93.0918897144826,6.9081102855174
"mean","sensitivity","rfocc",72.3725059771038,27.6274940228962
"mean","specificity","rfocc",69.9800231542082,30.0199768457918
"mean","pp","rfocc",60.4499209641358,39.5500790358642
"mean","np","rfocc",83.8085696853089,16.1914303146911
"mean","sensitivity","rfpr",93.3362146438878,6.66378535611216
"mean","specificity","rfpr",33.5856863172824,66.4143136827176
"mean","pp","rfpr",46.5721849489321,53.4278150510679
"mean","np","rfpr",92.5473482937122,7.45265170628782
"mean","sensitivity","max",98.2940055051709,1.70599449482911
"mean","specificity","max",21.420686105813,78.579313894187
"mean","pp","max",43.7711195526078,56.2288804473922
"mean","np","max",97.5684462131639,2.43155378683613
